Country,Clicks,Impressions,CTR,Position
India,1,15,6.67%,9.67
United States,0,27,0%,41.96
Poland,0,26,0%,28.92
Turkey,0,22,0%,10.91
Ukraine,0,13,0%,14.46
Germany,0,12,0%,17.33
Spain,0,11,0%,44.27
Sweden,0,8,0%,14.38
Brazil,0,8,0%,31.62
France,0,8,0%,34.12
South Korea,0,7,0%,24.86
Philippines,0,7,0%,27.86
Italy,0,7,0%,59
Japan,0,6,0%,20
Saudi Arabia,0,5,0%,24.6
Pakistan,0,4,0%,14.5
Canada,0,4,0%,32.5
Indonesia,0,3,0%,25
Malaysia,0,3,0%,43.67
Mexico,0,2,0%,9
Bangladesh,0,2,0%,18
Thailand,0,2,0%,25.5
Iraq,0,1,0%,3
Romania,0,1,0%,4
Armenia,0,1,0%,5
New Zealand,0,1,0%,6
Uzbekistan,0,1,0%,8
Switzerland,0,1,0%,10
South Africa,0,1,0%,10
Portugal,0,1,0%,11
Algeria,0,1,0%,18
Latvia,0,1,0%,22
Chile,0,1,0%,27
Russia,0,1,0%,48
